label,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y
6,0,0,-0.0015625,0.00416666667,0,0.00625,-0.003125,0.00416666667,0.003125,0.00416666667,0.00625,-0.00208333333,0.003125,-0.00208333333,0.00625,-0.00208333333,0.003125,0,0.0015625,-0.00208333333,0,0.00625,0.003125,0.00416666667,0.003125,0.00208333333,0.003125,0.00208333333,0.003125,-0.00208333333,0.0015625,-0.00416666667
6,0.0578125,-0.0604166667,0.0625,-0.04375,0.05625,-0.05,0.05625,-0.0479166667,0.065625,-0.0520833333,0.065625,-0.0625,0.0609375,-0.0604166667,0.0671875,-0.0604166667,0.0546875,-0.0583333333,0.0578125,-0.0583333333,0.0609375,-0.0479166667,0.0640625,-0.0520833333,0.0609375,-0.0541666667,0.0640625,-0.0541666667,0.059375,-0.0583333333,0.0546875,-0.0604166667
6,0.0890625,-0.116666667,0.096875,-0.0979166667,0.0875,-0.10625,0.090625,-0.104166667,0.0984375,-0.110416667,0.0984375,-0.11875,0.09375,-0.11875,0.1,-0.110416667,0.0859375,-0.116666667,0.090625,-0.114583333,0.09375,-0.104166667,0.096875,-0.110416667,0.0921875,-0.1125,0.09375,-0.110416667,0.0890625,-0.114583333,0.0859375,-0.114583333
6,0.11875,-0.14375,0.125,-0.127083333,0.115625,-0.133333333,0.121875,-0.133333333,0.125,-0.139583333,0.125,-0.14375,0.125,-0.145833333,0.1265625,-0.133333333,0.1125,-0.145833333,0.1203125,-0.14375,0.1203125,-0.13125,0.1234375,-0.135416667,0.1203125,-0.139583333,0.1171875,-0.1375,0.1140625,-0.14375,0.1125,-0.14375
6,0.1359375,-0.166666667,0.140625,-0.14375,0.13125,-0.15,0.1390625,-0.145833333,0.1375,-0.1625,0.140625,-0.164583333,0.140625,-0.16875,0.1421875,-0.145833333,0.1296875,-0.16875,0.1375,-0.164583333,0.1359375,-0.14375,0.1390625,-0.147916667,0.1375,-0.154166667,0.1296875,-0.154166667,0.128125,-0.164583333,0.1265625,-0.158333333
6,0.059375,-0.18125,0.0578125,-0.175,0.0578125,-0.177083333,0.05625,-0.175,0.0578125,-0.177083333,0.059375,-0.183333333,0.05625,-0.179166667,0.0625,-0.185416667,0.053125,-0.175,0.05625,-0.177083333,0.053125,-0.170833333,0.05625,-0.175,0.0546875,-0.177083333,0.0578125,-0.179166667,0.05625,-0.179166667,0.05625,-0.179166667
6,0.0984375,-0.260416667,0.0953125,-0.258333333,0.0953125,-0.258333333,0.0953125,-0.260416667,0.09375,-0.258333333,0.0953125,-0.264583333,0.09375,-0.260416667,0.0953125,-0.2625,0.090625,-0.258333333,0.090625,-0.2625,0.090625,-0.254166667,0.0921875,-0.25625,0.0921875,-0.258333333,0.0921875,-0.258333333,0.090625,-0.260416667,0.090625,-0.2625
6,0.121875,-0.31875,0.121875,-0.314583333,0.121875,-0.3125,0.121875,-0.314583333,0.1203125,-0.314583333,0.1203125,-0.320833333,0.11875,-0.316666667,0.11875,-0.320833333,0.1171875,-0.316666667,0.1171875,-0.320833333,0.115625,-0.3125,0.1171875,-0.314583333,0.11875,-0.316666667,0.1171875,-0.316666667,0.1171875,-0.316666667,0.115625,-0.31875
6,0.1453125,-0.3625,0.14375,-0.358333333,0.14375,-0.358333333,0.14375,-0.360416667,0.1421875,-0.358333333,0.14375,-0.364583333,0.1421875,-0.360416667,0.140625,-0.364583333,0.140625,-0.3625,0.140625,-0.364583333,0.1375,-0.358333333,0.1390625,-0.360416667,0.140625,-0.3625,0.1390625,-0.3625,0.1390625,-0.360416667,0.1375,-0.364583333
6,0.0515625,-0.152083333,0.05,-0.152083333,0.05,-0.154166667,0.05,-0.15,0.0484375,-0.152083333,0.0515625,-0.15625,0.0484375,-0.154166667,0.053125,-0.15625,0.0484375,-0.154166667,0.0484375,-0.152083333,0.0453125,-0.15,0.046875,-0.152083333,0.046875,-0.154166667,0.05,-0.154166667,0.05,-0.15625,0.05,-0.15625
6,0.090625,-0.239583333,0.090625,-0.245833333,0.0921875,-0.24375,0.090625,-0.245833333,0.0890625,-0.24375,0.090625,-0.247916667,0.0890625,-0.24375,0.0890625,-0.241666667,0.0875,-0.245833333,0.0875,-0.245833333,0.0859375,-0.239583333,0.0875,-0.241666667,0.0859375,-0.241666667,0.0875,-0.245833333,0.0875,-0.245833333,0.0875,-0.247916667
6,0.1203125,-0.3,0.1203125,-0.304166667,0.121875,-0.302083333,0.121875,-0.30625,0.11875,-0.3,0.11875,-0.30625,0.1171875,-0.304166667,0.115625,-0.302083333,0.115625,-0.30625,0.115625,-0.30625,0.1140625,-0.3,0.115625,-0.302083333,0.1140625,-0.302083333,0.115625,-0.304166667,0.1140625,-0.304166667,0.115625,-0.30625
6,0.1453125,-0.35625,0.1453125,-0.358333333,0.1484375,-0.35625,0.1453125,-0.360416667,0.14375,-0.354166667,0.14375,-0.360416667,0.1421875,-0.358333333,0.1390625,-0.358333333,0.1375,-0.360416667,0.1375,-0.360416667,0.1375,-0.35625,0.1390625,-0.358333333,0.1390625,-0.35625,0.1390625,-0.360416667,0.1375,-0.358333333,0.1375,-0.360416667
6,0.05,-0.108333333,0.0484375,-0.110416667,0.05,-0.1125,0.046875,-0.108333333,0.0484375,-0.108333333,0.05,-0.1125,0.0484375,-0.110416667,0.05,-0.110416667,0.0484375,-0.1125,0.0484375,-0.110416667,0.0453125,-0.108333333,0.046875,-0.108333333,0.046875,-0.110416667,0.0484375,-0.114583333,0.0484375,-0.114583333,0.0484375,-0.1125
6,0.08125,-0.179166667,0.0828125,-0.185416667,0.0828125,-0.183333333,0.0828125,-0.183333333,0.08125,-0.18125,0.08125,-0.18125,0.08125,-0.18125,0.0796875,-0.18125,0.0796875,-0.183333333,0.078125,-0.183333333,0.078125,-0.18125,0.078125,-0.18125,0.0765625,-0.18125,0.078125,-0.185416667,0.078125,-0.185416667,0.078125,-0.185416667
6,0.1046875,-0.229166667,0.10625,-0.233333333,0.1078125,-0.23125,0.10625,-0.23125,0.103125,-0.23125,0.1046875,-0.23125,0.1015625,-0.229166667,0.1015625,-0.23125,0.1,-0.229166667,0.0984375,-0.23125,0.0984375,-0.229166667,0.1,-0.229166667,0.096875,-0.227083333,0.1,-0.233333333,0.0984375,-0.233333333,0.0984375,-0.233333333
6,0.1234375,-0.275,0.1234375,-0.277083333,0.128125,-0.275,0.125,-0.277083333,0.121875,-0.275,0.1234375,-0.272916667,0.1171875,-0.275,0.11875,-0.275,0.1125,-0.272916667,0.1140625,-0.275,0.1125,-0.272916667,0.115625,-0.272916667,0.1140625,-0.270833333,0.115625,-0.277083333,0.1140625,-0.277083333,0.115625,-0.275
6,0.05625,-0.05625,0.0546875,-0.0604166667,0.05625,-0.0604166667,0.053125,-0.05625,0.0546875,-0.0583333333,0.0578125,-0.0604166667,0.0578125,-0.0604166667,0.0578125,-0.0604166667,0.05625,-0.0625,0.0546875,-0.0583333333,0.053125,-0.05625,0.053125,-0.0583333333,0.053125,-0.0604166667,0.0546875,-0.0625,0.0546875,-0.0645833333,0.05625,-0.0625
6,0.078125,-0.0958333333,0.0765625,-0.0979166667,0.0796875,-0.1,0.075,-0.0979166667,0.0765625,-0.0958333333,0.078125,-0.1,0.078125,-0.0979166667,0.0765625,-0.0958333333,0.0796875,-0.1,0.075,-0.0979166667,0.075,-0.09375,0.075,-0.0958333333,0.075,-0.0979166667,0.075,-0.0979166667,0.075,-0.1,0.0734375,-0.1
6,0.0953125,-0.13125,0.090625,-0.13125,0.096875,-0.13125,0.090625,-0.129166667,0.090625,-0.129166667,0.09375,-0.133333333,0.0921875,-0.129166667,0.090625,-0.129166667,0.0921875,-0.129166667,0.0875,-0.129166667,0.0875,-0.125,0.0875,-0.127083333,0.0890625,-0.129166667,0.0875,-0.129166667,0.0875,-0.13125,0.0859375,-0.13125
6,0.1078125,-0.1625,0.1046875,-0.1625,0.1109375,-0.164583333,0.1046875,-0.1625,0.1015625,-0.160416667,0.10625,-0.164583333,0.103125,-0.160416667,0.103125,-0.160416667,0.103125,-0.160416667,0.0984375,-0.160416667,0.0984375,-0.15625,0.1,-0.158333333,0.1015625,-0.160416667,0.0984375,-0.160416667,0.0984375,-0.1625,0.0953125,-0.160416667
6,0,0,0,-0.00416666667,-0.0015625,-0.00625,-0.003125,-0.00625,-0.003125,0.00208333333,-0.0015625,0,0,-0.00208333333,-0.003125,-0.00208333333,-0.0046875,-0.00208333333,-0.0046875,-0.00416666667,-0.0015625,0,-0.0015625,-0.00208333333,0,-0.00208333333,-0.0015625,0,0.0015625,-0.00625,-0.0015625,-0.00625
6,0.0609375,-0.05625,0.05625,-0.0604166667,0.0515625,-0.0625,0.0515625,-0.0625,0.059375,-0.0520833333,0.0546875,-0.0604166667,0.0578125,-0.0541666667,0.0515625,-0.0604166667,0.0484375,-0.0604166667,0.05,-0.0625,0.0546875,-0.05625,0.0546875,-0.0583333333,0.0609375,-0.0583333333,0.053125,-0.05625,0.0578125,-0.0645833333,0.05,-0.0625
6,0.090625,-0.1125,0.0859375,-0.116666667,0.0828125,-0.116666667,0.0828125,-0.116666667,0.090625,-0.10625,0.0875,-0.116666667,0.090625,-0.1125,0.0890625,-0.114583333,0.0828125,-0.11875,0.0828125,-0.122916667,0.0859375,-0.116666667,0.0875,-0.114583333,0.0953125,-0.114583333,0.084375,-0.114583333,0.0875,-0.125,0.0796875,-0.120833333
6,0.1140625,-0.139583333,0.1109375,-0.145833333,0.109375,-0.145833333,0.1125,-0.141666667,0.11875,-0.135416667,0.1125,-0.147916667,0.1203125,-0.139583333,0.1203125,-0.139583333,0.1125,-0.152083333,0.1109375,-0.158333333,0.109375,-0.15625,0.115625,-0.147916667,0.125,-0.1375,0.1109375,-0.145833333,0.1125,-0.160416667,0.103125,-0.15625
6,0.1265625,-0.15625,0.125,-0.166666667,0.1234375,-0.160416667,0.1328125,-0.158333333,0.134375,-0.152083333,0.128125,-0.172916667,0.1375,-0.152083333,0.140625,-0.147916667,0.13125,-0.175,0.1265625,-0.18125,0.121875,-0.185416667,0.13125,-0.166666667,0.140625,-0.139583333,0.1265625,-0.16875,0.125,-0.185416667,0.1171875,-0.183333333
6,0.0546875,-0.18125,0.053125,-0.18125,0.053125,-0.18125,0.053125,-0.18125,0.053125,-0.175,0.05,-0.177083333,0.053125,-0.175,0.0484375,-0.172916667,0.046875,-0.175,0.05,-0.177083333,0.05,-0.172916667,0.0515625,-0.177083333,0.053125,-0.177083333,0.0484375,-0.172916667,0.053125,-0.179166667,0.0515625,-0.177083333
6,0.0890625,-0.260416667,0.0875,-0.2625,0.0875,-0.264583333,0.0875,-0.264583333,0.0890625,-0.25625,0.0875,-0.258333333,0.0890625,-0.258333333,0.0859375,-0.254166667,0.0828125,-0.25625,0.0859375,-0.258333333,0.084375,-0.25625,0.0875,-0.258333333,0.0890625,-0.25625,0.0859375,-0.252083333,0.0890625,-0.260416667,0.0875,-0.260416667
6,0.1140625,-0.31875,0.1140625,-0.31875,0.1125,-0.320833333,0.1125,-0.320833333,0.1140625,-0.314583333,0.1125,-0.3125,0.1140625,-0.316666667,0.1125,-0.310416667,0.1078125,-0.314583333,0.1109375,-0.316666667,0.1109375,-0.314583333,0.1125,-0.316666667,0.1140625,-0.310416667,0.1125,-0.308333333,0.115625,-0.31875,0.1140625,-0.31875
6,0.1359375,-0.364583333,0.1359375,-0.3625,0.134375,-0.366666667,0.134375,-0.364583333,0.134375,-0.360416667,0.1359375,-0.358333333,0.1359375,-0.360416667,0.134375,-0.35625,0.13125,-0.360416667,0.1328125,-0.3625,0.13125,-0.360416667,0.134375,-0.3625,0.1359375,-0.354166667,0.1359375,-0.354166667,0.1375,-0.364583333,0.1359375,-0.364583333
6,0.046875,-0.15625,0.046875,-0.158333333,0.046875,-0.158333333,0.0453125,-0.15625,0.04375,-0.154166667,0.04375,-0.154166667,0.0453125,-0.152083333,0.0421875,-0.15,0.0421875,-0.152083333,0.04375,-0.154166667,0.04375,-0.152083333,0.0453125,-0.154166667,0.0453125,-0.154166667,0.0421875,-0.152083333,0.0453125,-0.154166667,0.0453125,-0.15625
6,0.084375,-0.247916667,0.084375,-0.247916667,0.084375,-0.25,0.0828125,-0.247916667,0.0828125,-0.24375,0.0828125,-0.241666667,0.084375,-0.245833333,0.08125,-0.239583333,0.0796875,-0.24375,0.08125,-0.245833333,0.08125,-0.24375,0.0828125,-0.245833333,0.084375,-0.24375,0.0828125,-0.241666667,0.084375,-0.24375,0.084375,-0.247916667
6,0.1125,-0.30625,0.1109375,-0.30625,0.1125,-0.308333333,0.1109375,-0.308333333,0.1109375,-0.304166667,0.1109375,-0.302083333,0.1140625,-0.30625,0.1109375,-0.297916667,0.109375,-0.304166667,0.109375,-0.30625,0.109375,-0.304166667,0.1109375,-0.30625,0.1125,-0.304166667,0.1109375,-0.302083333,0.1109375,-0.304166667,0.1140625,-0.308333333
6,0.1359375,-0.3625,0.134375,-0.360416667,0.134375,-0.3625,0.134375,-0.364583333,0.134375,-0.360416667,0.134375,-0.354166667,0.1375,-0.3625,0.134375,-0.354166667,0.1328125,-0.358333333,0.1328125,-0.360416667,0.13125,-0.358333333,0.134375,-0.360416667,0.134375,-0.360416667,0.134375,-0.35625,0.1328125,-0.358333333,0.1359375,-0.360416667
6,0.0453125,-0.116666667,0.0453125,-0.116666667,0.0453125,-0.114583333,0.0453125,-0.1125,0.0421875,-0.110416667,0.0421875,-0.114583333,0.0453125,-0.110416667,0.0421875,-0.108333333,0.0421875,-0.1125,0.0421875,-0.1125,0.04375,-0.1125,0.04375,-0.114583333,0.04375,-0.114583333,0.0421875,-0.1125,0.04375,-0.1125,0.0453125,-0.114583333
